Bus stop,Line,Distance for Line 1 (Km),Distance for Line 3 (Km),Distance for Special Line (Km),Distance between 2 stations (Km),Time Between 2 stations Line 1 (mins),Time Between 2 stations Line 3 (mins),Time Between 2 stations Special Line (mins),Waiting Time Line 1 (mins),Waiting Time Line 3 (mins),Waiting Time Special Line (mins)
E1,"1, 3 and special",0,0,0,0,0,0,0,9,8,4
E2,1 and 3,0.35,0.35,0,0.35,1,1,0,8,14,6
S1,1 and 3,0.6,0.6,0,0.25,2,2,0,9,9,5
C1,1 and special,0.75,0,0.75,0.15,3,0,2,10,13,6
C2,1,1,0,0,0.25,3.5,0,0,8,12,5
E12,1,1.4,0,0,0.4,5,0,0,8,10,8
E14,1,1.7,0,0,0.3,6,0,0,12,12,8
C6,1,1.9,0,0,0.2,6.5,0,0,10,9,8
C7,1,2.1,0,0,0.2,7.5,0,0,9,7,7
C8,1,2.3,0,0,0.2,8,0,0,9,10,5
W7,1 and 3,2.6,0,0,0.3,8.5,0,0,9,11,3
W1,1 and 3,2.7,0,0,0.1,9,0,0,10,11,8
W2,1,3,0,0,0.3,10,0,0,11,12,7
W3,1,3.2,0,0,0.2,11,0,0,9,12,3
C9,1,3.4,0,0,0.2,12,0,0,12,7,5
C10,1,3.5,0,0,0.1,12.5,0,0,9,10,8
C11,1,3.7,0,0,0.2,13,0,0,9,13,5
C12,1 and special,3.9,0,1.2,0.2,13.5,0,4,12,10,7
S2,3,0,0.8,0,0.2,0,3,0,9,13,6
S3,3,0,1.1,0,0.3,0,4,0,12,10,4
W4,3,0,1.5,0,0.4,0,5,0,10,14,3
W6,3,0,1.6,0,0.1,0,5.5,0,12,10,3
W7,3,0,1.9,0,0.3,0,6,0,8,7,7
W1,3,0,2,0,0.1,0,6.5,0,9,12,7
W8,3,0,2.2,0,0.2,0,7,0,8,7,3
N1,3,0,2.4,0,0.2,0,7.5,0,12,12,4
N2,3,0,2.6,0,0.2,0,8,0,8,10,6
N3,3,0,3,0,0.4,0,9,0,9,8,7
N9,3,0,3.3,0,0.3,0,11,0,12,7,4
N11,3,0,3.5,0,0.2,0,11.5,0,10,9,3
E18,3,0,3.7,0,0.2,0,12,0,9,13,8
E5,3,0,3.8,0,0.1,0,12.5,0,10,13,3
E13,3,0,3.9,0,0.1,0,13,0,11,9,8
E11,3,0,4.1,0,0.2,0,13.5,0,12,11,4
E10,3,0,4.2,0,0.1,14,14,0,11,14,8
E6,1 and 3,4.2,4.4,0,0.2,14.5,14.5,0,11,12,8
E5,1 and 3,4.4,4.6,0,0.2,15,15,0,8,14,3
E4,1 and 3,4.5,4.7,0,0.1,15.5,15.5,0,12,11,6
E3,1 and 3,4.6,4.8,0,0.1,16,16,0,12,11,6
E1 (2),"1, 3 and special",5.2,5.4,2.3,0.6,17,17,7,11,11,8
